ID campaign pdays previous poutcome
5OYXG7XV7T 3 4 2 success
BKHWCF6BM9 1 999 0 nonexistent
DWUUYAGSVH 2 999 0 nonexistent
5AZLKLL0H1 1 999 0 nonexistent
H3TXB3OAL1 1 999 0 nonexistent
MWNLGP7BPX 1 4 1 success
3SPPT8MUNV 2 999 0 nonexistent
51BPK8BNA4 2 999 0 nonexistent
ONZOPG1FUK 4 999 0 nonexistent
B63U8XGSKQ 8 999 0 nonexistent
EKAT6L965T 5 999 0 nonexistent
NTP8K3IROT 19 999 0 nonexistent
VUCSNGD3QC 3 999 0 nonexistent
U362JGLBY0 1 999 0 nonexistent
7UKJ65KTQF 4 999 0 nonexistent
C7G91BC7CE 1 999 0 nonexistent
2ISZ5C82I6 1 999 1 failure
E4K1BK2T0M 4 999 0 nonexistent
K8YR1UMIG8 2 999 0 nonexistent
KLKAJ89NAW 2 999 0 nonexistent
DUE37GYCFU 1 999 0 nonexistent
YY7PAFMQ7M 4 999 0 nonexistent
GBFUKMWFAR 2 999 0 nonexistent
H2PWVE8GFP 2 999 0 nonexistent
HGSOPGT3Z5 1 999 0 nonexistent
09QK5QMAEC 1 999 1 failure
XWR69UOXI1 4 999 0 nonexistent
74PT8AAKLE 3 999 0 nonexistent
BDK64MIK06 1 999 0 nonexistent
M4NATVO7ZM 2 999 0 nonexistent
Y84INLTFJ9 2 999 0 nonexistent
9LVCJ4NZQD 3 999 0 nonexistent
IABMQ6AXRJ 2 999 0 nonexistent
JVCR3K5JXL 2 999 0 nonexistent
PVXCDSTNZ2 3 999 0 nonexistent
V1TH379B5Z 1 999 0 nonexistent
JK9RKTOS9L 1 999 0 nonexistent
UCDMQEEIT6 1 999 0 nonexistent
NTJDF96IFQ 1 999 0 nonexistent
OFABF2MRCH 2 999 1 failure
6VRESJ1YN5 4 999 0 nonexistent
ANGB3JOR12 3 999 0 nonexistent
2ZGMZBFB0L 6 999 0 nonexistent
OCOFRQQ4ZK 1 999 0 nonexistent
PHFFTLA4GE 4 999 0 nonexistent
G2FLDGER5I 2 999 0 nonexistent
LHGKX0GKVJ 2 999 0 nonexistent
F6FO2OKR85 22 999 0 nonexistent
X6XZXHPKCP 1 999 0 nonexistent
GDIHEAPGZJ 5 999 0 nonexistent
L3AT7JGC0Q 2 999 0 nonexistent
4HENLR7T19 3 999 0 nonexistent
3LJ0Q7DLW4 1 2 1 success
OR1VPI7V74 1 999 0 nonexistent
910B8Q8UG8 2 999 0 nonexistent
R3193B2XBQ 1 999 1 failure
IYP5MF2PV6 1 999 0 nonexistent
V6FAXYR5RC 1 999 0 nonexistent
VGWB9NUORR 2 999 0 nonexistent
N2J2K6PZ4N 4 999 0 nonexistent
RQRMXLKUQ3 1 999 0 nonexistent
E2LJFN5791 1 999 0 nonexistent
ZMIOAURIX5 2 999 0 nonexistent
8QJHI35HX5 1 999 0 nonexistent
1JLE3Z9QEJ 3 999 0 nonexistent
DQNXUGTWJY 1 999 0 nonexistent
ODJUMTPYAP 10 999 0 nonexistent
SQBVJTHITM 1 999 0 nonexistent
NYT18JSQ6J 1 999 0 nonexistent
ASGSO721VE 3 999 0 nonexistent
5VSIF6HAHJ 1 999 0 nonexistent
MV0GC99BIX 2 999 1 failure
UNDVM7JNLI 6 999 0 nonexistent
ZW7WDNOOUZ 3 999 0 nonexistent
OHV0U8UIV8 3 999 0 nonexistent
MCAV60CAP7 4 999 0 nonexistent
I5KZTSWJD6 2 999 0 nonexistent
KKFAKMBJLC 3 999 0 nonexistent
6IO3HA6TJJ 1 999 0 nonexistent
Y6CTP8SN1G 1 999 0 nonexistent
FQAFRTJSZQ 1 999 0 nonexistent
WN6K0TBFPH 2 999 0 nonexistent
EZW480UCRV 1 999 0 nonexistent
FSIKK6U6FF 4 999 0 nonexistent
28UTTIDTIT 5 999 0 nonexistent
KMH1OMOIL0 1 999 1 failure
HKED9CAILH 1 999 1 failure
EX124GA54U 2 999 0 nonexistent
QLOFYXT9SB 1 999 0 nonexistent
RQUVY680CM 1 999 0 nonexistent
2EN2R6TP7J 1 999 0 nonexistent
6W208ZKTNH 2 6 2 success
PPCS2BOW70 12 999 0 nonexistent
8U8HNK86D4 1 999 0 nonexistent
LH3TWUYUYL 1 999 0 nonexistent
RFJ830KO3K 1 999 0 nonexistent
I61651UQVN 2 999 0 nonexistent
XKOP2UTYBD 2 999 0 nonexistent
18D4CX8OQI 2 999 0 nonexistent
NG1IEMLAMN 1 999 0 nonexistent
99304E3HEA 1 999 0 nonexistent
5YATYGHXL1 1 6 2 success
TGONRUWWFG 1 999 0 nonexistent
JHALAVRQMQ 4 999 0 nonexistent
I4IMHUWQBM 3 999 1 failure
9T287BAOMP 1 999 0 nonexistent
