ID emp.var.rate cons.price.idx cons.conf.idx euribor3m nr.employed
XL6BM1HKVB 1.4 93.444 -36.1 4.9639999999999995 5228.1
RFJ830KO3K -0.1 93.2 -42.0 4.191 5195.8
VZPFKURHLX -1.7 94.027 -38.3 0.899 4991.6
A387DI2LP3 1.4 94.465 -41.8 4.865 5228.1
P3454QGBCT 1.4 93.444 -36.1 4.968 5228.1
PNAXOM2ECY 1.1 93.994 -36.4 4.864 5191.0
AUWPWFHCQW 1.4 93.91799999999999 -42.7 4.962 5228.1
8UA8DTJIBC 1.4 93.444 -36.1 4.968 5228.1
2L6DFI2W5E 1.4 93.91799999999999 -42.7 4.963 5228.1
9NWVNJZMW6 1.4 93.444 -36.1 4.966 5228.1
PDYYGBAG35 -0.1 93.2 -42.0 4.12 5195.8
KWLTFSMGNN 1.4 94.465 -41.8 4.96 5228.1
AKJBF5KC1J -1.8 93.749 -34.6 0.6629999999999999 5008.7
DLX5V2OKTN -0.1 93.2 -42.0 4.12 5195.8
YV6TCZ5P4K 1.1 93.994 -36.4 4.857 5191.0
NMRHMZMPBN 1.4 94.465 -41.8 4.967 5228.1
NWEFPT8LUR -1.8 92.89299999999999 -46.2 1.3130000000000002 5099.1
BOESOLB8A7 -1.8 92.89299999999999 -46.2 1.327 5099.1
ILXUT8EV5Y 1.4 93.91799999999999 -42.7 4.963 5228.1
BBSISSMUL3 1.4 93.91799999999999 -42.7 4.961 5228.1
XOQ14BNSXR 1.4 94.465 -41.8 4.864 5228.1
KHCNW6BH6H 1.1 93.994 -36.4 4.857 5191.0
9J6X8F02BH -1.8 93.075 -47.1 1.365 5099.1
H2PWVE8GFP 1.4 93.91799999999999 -42.7 4.962 5228.1
803UPFRL39 1.1 93.994 -36.4 4.857 5191.0
WZZ49A6C2H -1.7 94.027 -38.3 0.8909999999999999 4991.6
ANPTR08GQL 1.4 93.444 -36.1 4.9639999999999995 5228.1
7YXNXY2BC4 1.1 93.994 -36.4 4.86 5191.0
9MNCE7NV1W -1.8 92.89299999999999 -46.2 1.291 5099.1
6J1SUQUFWQ 1.4 94.465 -41.8 4.961 5228.1
NS7U2YMPBT -0.1 93.2 -42.0 4.191 5195.8
D0GNRAF8J7 1.1 93.994 -36.4 4.855 5191.0
45XM2Z7DQZ -1.8 93.876 -40.0 0.682 5008.7
PARZ3N9O8B -3.4 92.649 -30.1 0.7140000000000001 5017.5
DV39M3HCZH 1.4 93.444 -36.1 4.968 5228.1
VK5S95SK3B -1.8 92.89299999999999 -46.2 1.2590000000000001 5099.1
AYUL5A5JPW 1.4 94.465 -41.8 4.961 5228.1
PFKCAZFT0C 1.4 93.91799999999999 -42.7 4.958 5228.1
JM66ULEMZF 1.4 94.465 -41.8 4.962 5228.1
ZKLCONCLBE 1.4 93.444 -36.1 4.967 5228.1
201CO6TQTZ 1.4 93.91799999999999 -42.7 4.958 5228.1
FDHJIJ60RU 1.4 93.91799999999999 -42.7 4.962 5228.1
SP7E1HD8Z9 -1.7 94.215 -40.3 0.8220000000000001 4991.6
2AIYPU0UF3 1.4 93.444 -36.1 4.965 5228.1
P7PQC86QXQ 1.4 93.91799999999999 -42.7 4.961 5228.1
800TB9XG9Z 1.4 94.465 -41.8 4.865 5228.1
1K641RVVPJ 1.4 93.444 -36.1 4.968 5228.1
KYF0BXBDC7 1.4 94.465 -41.8 4.96 5228.1
6Q6JTCRLNF 1.4 93.444 -36.1 4.968 5228.1
AMM834UAJI 1.4 93.91799999999999 -42.7 4.963 5228.1
DXAHM24R4G 1.4 93.91799999999999 -42.7 4.962 5228.1
DFOT03X0N9 -1.8 93.075 -47.1 1.365 5099.1
IBQDOBYMDV -1.8 93.075 -47.1 1.415 5099.1
RWON80ME39 1.4 94.465 -41.8 4.961 5228.1
4LRPTDL71P -2.9 92.963 -40.8 1.262 5076.2
FE40KNU76M 1.4 93.91799999999999 -42.7 4.962 5228.1
A282T64T85 1.4 94.465 -41.8 4.958 5228.1
BXJGUJ7LX1 -3.4 92.431 -26.9 0.722 5017.5
59NMKIVNGN -3.0 92.713 -33.0 0.7170000000000001 5023.5
F54UF7FZC7 -0.1 93.2 -42.0 4.191 5195.8
WMHN4UKFY1 1.1 93.994 -36.4 4.856 5191.0
J4NTDKOSDN 1.4 93.91799999999999 -42.7 4.968 5228.1
TIKBRYQC4T 1.1 93.994 -36.4 4.859 5191.0
OF2MMYONW1 1.4 93.444 -36.1 4.966 5228.1
J1FJAQQJSB 1.4 93.91799999999999 -42.7 4.96 5228.1
J7N924F6YI -1.8 92.89299999999999 -46.2 1.266 5099.1
3R0KHML31N -2.9 92.963 -40.8 1.266 5076.2
TY9SIH1Y79 1.4 94.465 -41.8 4.864 5228.1
2T5TBTL9TD -0.1 93.2 -42.0 4.0760000000000005 5195.8
5D96LEPVPQ -1.8 93.075 -47.1 1.405 5099.1
WM1228PWA2 -1.8 92.89299999999999 -46.2 1.334 5099.1
XUQQSCCBBL -1.1 94.199 -37.5 0.877 4963.6
JANWJ4RODC -1.8 92.89299999999999 -46.2 1.334 5099.1
5FHBBS45YR 1.4 93.444 -36.1 4.963 5228.1
TGGYXBM5HQ -0.1 93.2 -42.0 4.12 5195.8
PTLTVUAYN2 1.4 93.91799999999999 -42.7 4.962 5228.1
19ABPH7FU2 1.1 93.994 -36.4 4.857 5191.0
DDEF8BLX8L -1.8 92.84299999999999 -50.0 1.7990000000000002 5099.1
PFO29U7KQN -0.1 93.2 -42.0 4.0760000000000005 5195.8
IMGQRD8K5Z -2.9 92.963 -40.8 1.266 5076.2
HF1ROU5YQ2 -1.1 94.199 -37.5 0.88 4963.6
2ZCU8HZTOU 1.4 93.91799999999999 -42.7 4.961 5228.1
96MKZF6C6P 1.4 94.465 -41.8 4.961 5228.1
OPZ1LD58TA 1.1 93.994 -36.4 4.864 5191.0
50B1S3Z8SR 1.1 93.994 -36.4 4.864 5191.0
8LPXQD1LSX -0.1 93.2 -42.0 4.12 5195.8
8NPOBNX5GG 1.4 93.91799999999999 -42.7 4.957 5228.1
2QHOEV756U 1.4 93.91799999999999 -42.7 4.958 5228.1
QMKEHQ451Q 1.4 93.444 -36.1 4.963 5228.1
DGQNZMSX36 -0.1 93.2 -42.0 4.12 5195.8
T9F8YDMKNS 1.4 94.465 -41.8 4.864 5228.1
W6AG5IQN0L 1.4 93.91799999999999 -42.7 4.968 5228.1
WEGWTD254U 1.4 94.465 -41.8 4.961 5228.1
0WMZ4XDP4Y 1.4 93.91799999999999 -42.7 4.961 5228.1
V5M44AXKZU -1.8 93.075 -47.1 1.445 5099.1
87WUYRA2HL 1.4 93.91799999999999 -42.7 4.961 5228.1
8IY504JXU1 1.1 93.994 -36.4 4.857 5191.0
7E868L34OJ 1.1 93.994 -36.4 4.857 5191.0
GMPT3TJJVV -1.7 94.027 -38.3 0.8859999999999999 4991.6
3ZDOGMHSQQ 1.4 93.444 -36.1 4.965 5228.1
1E62IYL345 1.4 93.91799999999999 -42.7 4.963 5228.1
3SRLVZKDUK -1.8 93.075 -47.1 1.365 5099.1
SCRB8TJ3QB -0.1 93.2 -42.0 4.1530000000000005 5195.8
ILKAER1P6F -1.8 93.075 -47.1 1.405 5099.1
1UCPTCDL0T -1.8 92.89299999999999 -46.2 1.27 5099.1
HUTL3LBAO5 1.4 94.465 -41.8 4.967 5228.1
S4WRUJ6FKK 1.4 94.465 -41.8 4.961 5228.1
6LQ26PD1F7 1.4 94.465 -41.8 4.864 5228.1
JPMZPSL6I9 1.1 93.994 -36.4 4.857 5191.0
ZXW1G68UPQ 1.1 93.994 -36.4 4.859 5191.0
8B5QAMJW5E 1.1 93.994 -36.4 4.86 5191.0
R8CQNO02K1 1.4 93.91799999999999 -42.7 4.962 5228.1
9L4C9XVIPT -1.8 92.89299999999999 -46.2 1.244 5099.1
AEYLR01RMS 1.4 93.444 -36.1 4.965 5228.1
